"","SYMBOL","ENTREZID"
"536","SERINC5","256987"
"537","F2RL2","2151"
"538","ITGA9","3680"
"539","SLC9A9","285195"
"540","RFLNB","359845"
"541","LRAT","9227"
"542","NFKBIA","4792"
"543","EXOSC2","23404"
"544","TNFAIP3","7128"
"545","B3GALT2","8707"
"546","DNA2","1763"
"547","GRIA2","2891"
"548","RHOBTB3","22836"
"549","HSPG2","3339"
"550","ATP8A1","10396"
"551","KIF15","56992"
"552","MUC1","4582"
"553","RNF217","154214"
"554","EMP1","2012"
"555","SHISA2","387914"
"556","SERPINB7","8710"
"557","CELSR2","1952"
"558","VPS39","23339"
"559","CDCA8","55143"
"560","F8","2157"
"561","FRY","10129"
"562","ZNF850","342892"
"563","LINC00910","100130581"
"564","SLC50A1","55974"
"565","TMEM47","83604"
"566","UBE2C","11065"
"567","DSCC1","79075"
"568","E2F1","1869"
"569","ETV1","2115"
"570","RND3","390"
"571","LEF1","51176"
"572","RRS1","23212"
"573","ATP10D","57205"
"574","ISYNA1","51477"
"575","E2F2","1870"
"576","SAT2","112483"
"577","GRAMD2B","65983"
"578","PLD3","23646"
"579","FBXO5","26271"
"580","GPC6","10082"
"581","KIF24","347240"
"582","LMNB1","4001"
"583","ZNF367","195828"
"584","FAM214A","56204"
"585","AZIN2","113451"
"586","ROBO1","6091"
"587","URB2","9816"
"588","LRR1","122769"
"589","FGGY","55277"
"590","HMOX1","3162"
"591","LAMB2","3913"
"592","TLR3","7098"
"593","FREM2","341640"
"594","YPEL2","388403"
"595","CDCA3","83461"
"596","MYBBP1A","10514"
"597","LAMA2","3908"
"598","NIBAN2","64855"
"599","C4orf33","132321"
"600","BYSL","705"
"601","SOX11","6664"
"602","SOX4","6659"
"603","TRAIP","10293"
"604","PBLD","64081"
"605","CPS1","1373"
"606","RGS8","85397"
"607","SLC25A10","1468"
"608","NIT1","4817"
"609","HHEX","3087"
"610","S100Z","170591"
"611","RHOU","58480"
"612","MTFR2","113115"
"613","RORB","6096"
"614","PCDHB10","56126"
"615","SMPD1","6609"
"616","CALB2","794"
"617","TGFB1","7040"
"618","MSH2","4436"
"619","IL24","11009"
"620","RSPH3","83861"
"621","TSPAN31","6302"
"622","PDE9A","5152"
"623","CDH12","1010"
"624","TMX4","56255"
"625","PLCD1","5333"
"626","PHLDB2","90102"
"627","MFSD6","54842"
"628","ANXA4","307"
"629","ALDH6A1","4329"
"630","IL6R","3570"
"631","SPP1","6696"
"632","RRP9","9136"
"633","RHOBTB1","9886"
"634","AHCYL2","23382"
"635","GPRC5A","9052"
"636","CCNDBP1","23582"
"637","ID3","3399"
"638","VSNL1","7447"
"639","LTV1","84946"
"640","CENPO","79172"
"641","MLC1","23209"
"642","TCN2","6948"
"643","PPARG","5468"
"644","SLC24A1","9187"
"645","MYBL1","4603"
"646","SPC24","147841"
"647","RUSC1-AS1","284618"
"648","PIK3R1","5295"
"649","TP53I3","9540"
"650","EPB41L4A","64097"
"651","FAM229B","619208"
"652","KLHL3","26249"
"653","NDRG2","57447"
"654","PLCE1","51196"
"655","RIN2","54453"
"656","FREM1","158326"
"657","PDK2","5164"
"658","AEN","64782"
"659","ALDH1B1","219"
"660","POU2F1","5451"
"661","FLG","2312"
"662","WDR3","10885"
"663","UBE2S","27338"
"664","PCDHB8","56128"
"665","CUL7","9820"
"666","H3C2","8358"
"667","SGO1","151648"
"668","CYB5D2","124936"
"669","H2BC17","8348"
"670","MMP1","4312"
"671","MMP15","4324"
"672","PHLDA1","22822"
"673","SLC35D2","11046"
"674","C1RL","51279"
"675","RBL1","5933"
"676","KLHDC1","122773"
"677","MSRB2","22921"
"678","DISP1","84976"
"679","TMPO","7112"
"680","SNORD14E","85391"
"681","DEPDC1B","55789"
"682","MIR222","407007"
"683","VPS13C","54832"
"684","PAK1IP1","55003"
"685","POLR3GL","84265"
"686","DPP4","1803"
"687","MDK","4192"
"688","TTYH2","94015"
"689","SPIN4","139886"
"690","GALT","2592"
"691","ABCA12","26154"
"692","INPP5D","3635"
"693","CCDC102B","79839"
"694","KIF2C","11004"
"695","NFIB","4781"
"696","FGFRL1","53834"
"697","LRRC59","55379"
"698","TIPIN","54962"
"699","PCSK2","5126"
"700","TTLL12","23170"
"701","GPX3","2878"
"702","ARMC9","80210"
"703","MAP3K12","7786"
"704","CBLB","868"
"705","BCHE","590"
"706","RRAS","6237"
"707","NDUFAF4","29078"
"708","HAUS8","93323"
"709","CENPN","55839"
"710","OLFML2A","169611"
"711","ELMOD1","55531"
"712","MKRN9P","400058"
"713","SYT14","255928"
"714","ABTB2","25841"
"715","CIRBP","1153"
"716","SNORD28","9300"
"717","H2BC13","8340"
"718","GRN","2896"
"719","STON2","85439"
"720","BAG3","9531"
"721","PPARGC1A","10891"
"722","TTK","7272"
"723","NID1","4811"
"724","SNORD12C","26765"
"725","KIF13A","63971"
"726","YPEL5","51646"
"727","METTL21EP","121952"
"728","DIO2","1734"
"729","ZNF473","25888"
"730","PXYLP1","92370"
"731","H4C4","8360"
"732","HDAC5","10014"
"733","MELK","9833"
"734","C11orf71","54494"
"735","ABHD17C","58489"
"736","ERO1B","56605"
"737","FANCD2","2177"
"738","PLK3","1263"
"739","NET1","10276"
"740","CPQ","10404"
"741","IFI30","10437"
"742","TP53TG1","11257"
"743","ANO4","121601"
"744","ABCE1","6059"
"745","BHLHE41","79365"
"746","ECT2","1894"
"747","PCDHB14","56122"
"748","LPL","4023"
"749","OR8A1","390275"
"750","FMO5","2330"
"751","FOXP2","93986"
"752","IL16","3603"
"753","PPM1N","147699"
"754","NFATC2","4773"
"755","CCDC191","57577"
"756","NIPAL1","152519"
"757","ERMAP","114625"
"758","GRM8","2918"
"759","REEP2","51308"
"760","RRM1","6240"
"761","MAGED2","10916"
"762","QKI","9444"
"763","CASTOR3","352954"
"764","ZEB1","6935"
"765","CD68","968"
"766","TMEM117","84216"
"767","MPPED2","744"
"768","LURAP1L","286343"
"769","PTPRM","5797"
"770","CHAF1B","8208"
"771","CERS6","253782"
"772","CXXC5","51523"
"773","NTNG1","22854"
"774","FAR2","55711"
"775","PRC1","9055"
"776","SHISA4","149345"
"777","KIZ","55857"
"778","POLD4","57804"
"779","NUP205","23165"
"780","PPP3CA","5530"
"781","POU6F2","11281"
"782","CCT5","22948"
"783","KNSTRN","90417"
"784","SPANXB1","728695"
"785","NCAPG","64151"
"786","H2AC14","8331"
"787","HECW1","23072"
"788","ABHD1","84696"
"789","ABRAXAS1","84142"
"790","H6PD","9563"
"791","INHBA","3624"
"792","AGA","175"
"793","METTL7A","25840"
"794","NDRG4","65009"
"795","FOXD3","27022"
"796","ARHGAP31","57514"
"797","PDLIM1","9124"
"798","CHD3","1107"
"799","LGALS3","3958"
"800","TINF2","26277"
